nodeNo,x,y,region,newNodeNo
42950603,-74.193735,40.518041,0,63
43009295,-74.156693,40.540394,0,64
42948174,-74.15795,40.541667,0,65
43009292,-74.155955,40.540788,0,66
42948177,-74.157229,40.542082,0,67
43007038,-74.196743,40.514969,0,68
43017753,-74.195412,40.515163,0,69
42958203,-74.163417,40.52921,0,70
42958198,-74.161753,40.529931,0,71
42958195,-74.159085,40.531067,0,72
43001436,-74.152463,40.548014,0,73
42971104,-74.1888213,40.5209829,0,74
2540788089,-74.1883256,40.5215709,0,75
42957792,-74.169666,40.53054,0,76
42967904,-74.170035,40.531183,0,77
42967898,-74.169295,40.52992,0,78
42958243,-74.1999674,40.52004,0,79
42953677,-74.1972709,40.5199867,0,80
42956268,-74.153924,40.559384,0,81
43013612,-74.153552,40.558546,0,82
42949576,-74.176855,40.536376,0,83
42957789,-74.167275,40.531538,0,84
42964608,-74.167655,40.53216,0,85
42964600,-74.166898,40.530918,0,86
42956300,-74.160073,40.558145,0,87
43010460,-74.160918,40.55729,0,88
43006781,-74.178402,40.553496,0,89
43018345,-74.180099,40.552583,0,90
42957776,-74.161515,40.534282,0,91
42964434,-74.160175,40.533529,0,92
42964433,-74.159695,40.534069,0,93
448123218,-74.1910594,40.5351499,0,94
359872918,-74.1885612,40.5378099,0,95
42957387,-74.195815,40.516079,0,96
42974336,-74.195002,40.516198,0,97
42956998,-74.174022,40.54761,0,98
42986390,-74.171783,40.548586,0,99
42974329,-74.19682,40.515928,0,100
42956994,-74.171622,40.547854,0,101
43006560,-74.17273,40.552844,0,102
43022644,-74.170317,40.553161,0,103
42956990,-74.169205,40.54817,0,104
42986380,-74.169371,40.548898,0,105
43006557,-74.172884,40.553548,0,106
43022577,-74.170475,40.553859,0,107
42956986,-74.1671095,40.5484659,0,108
42986378,-74.167259,40.549167,0,109
42957088,-74.158925,40.556832,0,110
42982709,-74.15861,40.556137,0,111
42957890,-74.200569,40.5602451,0,112
43007033,-74.196792,40.515553,0,113
42956943,-74.154306,40.551004,0,114
42986474,-74.15395,40.550143,0,115
42956274,-74.15582,40.558899,0,116
43006401,-74.156111,40.55956,0,117
43006970,-74.164724,40.537032,0,118
43006968,-74.162801,40.538048,0,119
42975777,-74.1716195,40.5247626,0,120
1993276475,-74.1709869,40.5251254,0,121
42975775,-74.171026,40.5240906,0,122
1993276469,-74.1704746,40.524333,0,123
42957781,-74.16317,40.533369,0,124
42957294,-74.194852,40.514332,0,125
42972737,-74.1948846,40.5129129,0,126
42956442,-74.169002,40.556972,0,127
42999112,-74.169166,40.5577,0,128
42957292,-74.19668,40.514142,0,129
42972734,-74.1968476,40.5132139,0,130
42957769,-74.159676,40.535919,0,131
43007000,-74.199742,40.523533,0,132
43004520,-74.19836,40.523968,0,133
43006591,-74.173774,40.543153,0,134
43017174,-74.172451,40.542567,0,135
42957766,-74.159111,40.536552,0,136
42957763,-74.15852,40.537237,0,137
43006990,-74.200463,40.524641,0,138
43004518,-74.1997224,40.5249087,0,139
42956447,-74.171111,40.556714,0,140
42998186,-74.170949,40.555998,0,141
42957267,-74.1958063,40.5130543,0,142
42998183,-74.168843,40.556269,0,143
42955964,-74.183824,40.520855,0,144
43012138,-74.1833327,40.520138,0,145
42957666,-74.17514,40.541197,0,146
42957664,-74.17583,40.542412,0,147
42979784,-74.153412,40.551233,0,148
42957643,-74.1781504,40.552082,0,149
42957637,-74.179943,40.551877,0,150
43006786,-74.1774466,40.5534058,0,151
43006766,-74.168892,40.546765,0,152
43006580,-74.172238,40.546327,0,153
42976544,-74.166616,40.550702,0,154
42956980,-74.16524,40.548731,0,155
42976536,-74.165709,40.550814,0,156
42956971,-74.162096,40.549085,0,157
42976526,-74.162553,40.551227,0,158
42956968,-74.161168,40.549191,0,159
42976522,-74.161627,40.551347,0,160
42956558,-74.175732,40.526763,0,161
42988859,-74.17476,40.526735,0,162
42956956,-74.158374,40.549913,0,163
42976519,-74.159112,40.55167,0,164
43010684,-74.174428,40.543449,0,165
42956954,-74.157235,40.550218,0,166
42976516,-74.157919,40.55183,0,167
42956952,-74.156056,40.550532,0,168
42976511,-74.156721,40.551982,0,169
42956946,-74.155186,40.550776,0,170
42976508,-74.155797,40.552098,0,171
42957092,-74.161268,40.556521,0,172
42971738,-74.161505,40.557224,0,173
42971729,-74.16103,40.555823,0,174
42974762,-74.171894,40.547095,0,175
42974758,-74.169054,40.547466,0,176
42974757,-74.166832,40.547779,0,177
43002404,-74.178581,40.554284,0,178
42955400,-74.180327,40.559972,0,179
43022038,-74.182606,40.559856,0,180
42956561,-74.1739778,40.5244465,0,181
42986017,-74.1728741,40.524444,0,182
42985853,-74.17398,40.523122,0,183
